2026-05-31 02:37:04,595 WARNING __main__ no LLM provider configured (GITHUB_TOKEN not set); LLM-driven ticks will error
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Adding job tentatively -- it will be properly scheduled when the scheduler starts
2026-05-31 02:37:04,597 INFO __main__ scheduler starting (broker=sandbox)
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_mtm" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_day_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_long_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_coord_tick" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Added job "SchedulerRunner.job_tick_poll" to job store "default"
2026-05-31 02:37:04,597 INFO apscheduler.scheduler Scheduler started
2026-05-31 02:37:09,602 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:09 CDT)" (scheduled at 2026-05-31 02:37:09.597247-05:00)
2026-05-31 02:37:09,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:14 CDT)" executed successfully
2026-05-31 02:37:14,602 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:19 CDT)" (scheduled at 2026-05-31 02:37:14.597247-05:00)
2026-05-31 02:37:14,603 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:19 CDT)" executed successfully
2026-05-31 02:37:19,603 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:24 CDT)" (scheduled at 2026-05-31 02:37:19.597247-05:00)
2026-05-31 02:37:19,605 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:24 CDT)" executed successfully
2026-05-31 02:37:24,605 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:29 CDT)" (scheduled at 2026-05-31 02:37:24.597247-05:00)
2026-05-31 02:37:24,605 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:29 CDT)" executed successfully
2026-05-31 02:37:29,604 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:34 CDT)" (scheduled at 2026-05-31 02:37:29.597247-05:00)
2026-05-31 02:37:29,605 INFO apscheduler.executors.default Job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:34 CDT)" executed successfully
2026-05-31 02:37:34,602 INFO apscheduler.executors.default Running job "SchedulerRunner.job_tick_poll (trigger: interval[0:00:05], next run at: 2026-05-31 02:37:39 CDT)" (scheduled at 2026-05-31 02:37:34.597247-05:00)
